Id,Start time,Completion time,Email,Name,Interviewer Name,How did you get to this Nonna's today?,"        Just before coming here, where were you?",        Please select the area for your movie/ recreation?,        Please select the area of your shopping?,        Please select your area of work?,        Please select the area your college is located in?,Please select the area you're coming from?,Please specify where in Deccan?,Please specify where in Erandawne?,Please specify where in Kothrud?,Please specify where in Shivajinagar?,Please specify where in Old City?,"After leaving Nonna's today, where are you headed next?",Please select where are you going to?,        Please select the area you're going to for movies/ fun,        Please select the area you're going to for shopping,        Please select the area you're going to for work,        Please select your college area,Please select area in Deccan?,Please select area in Erandawne?,Please select area in Kothrud?,Please select area in Shivajinagar?,Please select area in Old City?,How many people are you here with?,When did you make a decision to eat at Nonna's?,Is it your first time visiting SiNonna's?,How did you discover Nonna's during your first visit?            ,How often do you visit Nonna's in particular?,What was the occasion of your eat out today?,What made you choose Nonna's for eating out?,How many times do you order Nonna's from Swiggy/ Zomato,How did you discover this Nonna's today?,What was the occasion for your visit to Nonna's today?,What brought you to Nonna's today?,How often do you eat out or order food from a restaurant?,How often do you eat out at a Premium/ Fine Dine Restaurant            ,Which of the following best depicts your age?,Gender,Marital Status,Occupation,What vehicle do you or your family own?,Where do you reside currently?,Would you visit Nonna's again in future?
11,6/24/2025 18:53,6/24/2025 19:22,anonymous,,Ks,Own Vehicle,Visiting Friends/ Relatives,,,,,Kothrud,,,Mayur Colony / Ideal Colony,,,To Home,kothrud,,,,,,,Mayur Colony / Ideal Colony,,,2,1-3 hours ago,I come here often,Walk-in/ Saw it while passing by,2-3 times a month,Work meeting/ Business outing,I saw a good offer at Nonna's,Once a month,,,,Almost Everyday,2-3 times per month,24-34,Male,Married but no kids,Freelancer,We own a car,3 BHK,Yes
12,6/24/2025 20:05,6/24/2025 20:12,anonymous,,Ks,Own Vehicle,At Home,,,,,Pune University ,,,,,,To Home,Pune University ,,,,,,,,,,1,1-3 hours ago,First time,,,,,,Reservation Apps - DineOut/ Zomato Gold,Casual Meal,I wanted to try Sourdough Pizza ,2-3 times per month,1 time per month,24-34,Male,Unmarried/ Single,Student,,Hostel,Yes
13,6/24/2025 20:12,6/24/2025 21:09,anonymous,,Ks,Own Vehicle,Came from Work/ Office,,,Shivajinagar,,,,,,,,To Home,Shivajinagar,,,,,,,,,,3,0-30 minutes ago,I come here often,Social Media Ad (Instagram/ Facebook),Once a month,Hangout with Friends,Pizza with Drinks sounded like a good combo,Once a month,,,,2-3 times per month,2-3 times per month,24-34,Male,Unmarried/ Single,Salaried Professional,We own a 2-wheeler,2BHK,Yes
14,6/24/2025 21:09,6/24/2025 21:27,anonymous,,Kd,Own Vehicle,Came from Work/ Office,,,ICC/ Senapati Bapat Road,,,,,,,,To Home,Old City,,,,,,,,,,5 or more,0-30 minutes ago,I come here often,Social Media Ad (Instagram/ Facebook),Once a quarter,Hangout with Friends,I wanted to try Sourdough Pizza,Once a week,,,,2-3 times a week,2-3 times a week,18-24,Male,,Entrepreneur/ Business Owner,,,Yes
15,6/24/2025 19:23,6/24/2025 21:30,anonymous,,Ks,Own Vehicle,At Home,,,,,Deccan,Deccan,,,,,To Home,Deccan,,,,,Deccan,,,,,3,1-3 hours ago,I come here often,Walk-in/ Saw it while passing by,2-3 times a month,Family Outing,We like the food here. Today we were disappointed as the pizza was burned. This was the first time we faced this. We felt the pizza was reheated,Never ordered online,,,,2-3 times per month,2-3 times per month,45-54,Female,Married with youngest kid (Above 12),Entrepreneur/ Business Owner,,,Yes
16,6/24/2025 21:40,6/24/2025 21:42,anonymous,,Kd,Own Vehicle,Came from Work/ Office,,,Deccan,,,,,,,,To Home,Deccan,,,,,Prabhat Road/Bhandarkar Road,,,,,1,1-3 hours ago,I come here often,Walk-in/ Saw it while passing by,Once every 6 months,Hangout with Friends,I wanted to try Sourdough Pizza,Never ordered online,,,,1 time per month,1 time per month,18-24,Female,Unmarried/ Single,Salaried Professional,,,Yes
17,6/24/2025 21:27,6/24/2025 21:43,anonymous,,Ks,Own Vehicle,At Home,,,,,Old City,,,,,Narayan Peth,To Home,Old City,,,,,,,,,,2,0-30 minutes ago,First time,,,,,,Social Media Ad (Instagram/ Facebook),Casual Meal,I wanted to try Sourdough Pizza ,Once a week,1 time per week,24-34,Female,Unmarried/ Single,Student,We own a 2-wheeler,3 BHK,Yes
18,6/24/2025 21:43,6/24/2025 21:50,anonymous,,Kd,Own Vehicle,At Home,,,,,Erandawne,,Suncity,,,,To Home,Erandawne,,,,,,,,,,2,0-30 minutes ago,First time,,,,,,Social Media Ad (Instagram/ Facebook),Casual Meal,I wanted to try Sourdough Pizza ,2-3 times per month,1 time per month,24-34,Female,Married but no kids,Homemaker,,,Yes
19,6/24/2025 21:51,6/24/2025 21:53,anonymous,,Kd,Own Vehicle,Shopping,,FC Road,,,,,,,,,To Home,Dhanori ,,,,,,,,,,1,Planned long back ,I come here often,Walk-in/ Saw it while passing by,Once a month,"Special Celebration (Birthday, Anniversary)",We had our first date here,Never ordered online,,,,2-3 times per month,2-3 times per month,24-34,Female,Married but no kids,Salaried Professional,We own a 2-wheeler,1 BHK,Yes
20,6/24/2025 21:43,6/24/2025 21:53,anonymous,,Ks,Walking,Visiting Friends/ Relatives,,,,,Pimpri ,,,,,,To College,,,,,Dy patil,,,,,,2,0-30 minutes ago,First time,,,,,,I was walking by and came in,Casual Meal,I wanted to try Sourdough Pizza ,2-3 times a week,2-3 times per month,24-34,Male,Unmarried/ Single,Student,We own both,Hostel ,Yes
21,6/24/2025 21:53,6/24/2025 22:15,anonymous,,Ks,Own Vehicle,Shopping,,FC Road,,,,,,,,,To Home,Old City,,,,,,,,,,1,Planned long back ,I come here often,Social Media Ad (Instagram/ Facebook),2-3 times a month,"Special Celebration (Birthday, Anniversary)",I wanted to try Sourdough Pizza,Never ordered online,,,,Almost Everyday,2-3 times a week,18-24,Male,Unmarried/ Single,Student,We own a 2-wheeler,2BHK,Yes
22,6/24/2025 22:16,6/24/2025 22:22,anonymous,,Kd,Own Vehicle,Shopping,,FC Road,,,,,,,,,To Home,Old City,,,,,,,,,,1,Planned yesterday,I come here often,Word of Mouth/ Recommendation,Once a quarter,Date,I wanted to try Sourdough Pizza,Never ordered online,,,,Once every 2-3 months,1 time per month,24-34,Male,Unmarried/ Single,Salaried Professional,We own both,1 BHK,Yes
23,6/24/2025 22:22,6/24/2025 22:31,anonymous,,Kd,Walking,At Home,,,,,Shivajinagar,,,,Model Colony,,To Home,Shivajinagar,,,,,,,,,,4,1-3 hours ago,I come here often,Walk-in/ Saw it while passing by,Once a quarter,Family Outing,I wanted to try Sourdough Pizza,Once every 6 months,,,,2-3 times per month,2-3 times a week,24-34,Female,,Entrepreneur/ Business Owner,,,Yes
24,6/24/2025 22:31,6/24/2025 22:43,anonymous,,Ks,Own Vehicle,Visiting Friends/ Relatives,,,,,Kothrud,,,MIT College / Anand Nagar,,,To Home,kothrud,,,,,,,MT College / Anand Nagar,,,3,0-30 minutes ago,First time,,,,,,A friend told me,Casual Meal,Wanted to have dessert ,2-3 times a week,2-3 times per month,24-34,Male,Unmarried/ Single,Entrepreneur/ Business Owner,We own a car,,Yes
25,6/24/2025 22:48,6/24/2025 22:51,anonymous,,Ks,Own Vehicle,At Home,,,,,Deccan,Prabhat Road / Bhandarkar Road,,,,,To Home,Deccan,,,,,Prabhat Road/Bhandarkar Road,,,,,2,1-3 hours ago,First time,,,,,,I was walking by and came in,Date,I wanted to try Sourdough Pizza ,2-3 times a week,2-3 times a week,18-24,Male,Unmarried/ Single,Student,We own a car,3 BHK,Yes
26,6/24/2025 22:43,6/24/2025 22:54,anonymous,,Kd,Own Vehicle,At Home,,,,,Erandawne,,Karve Road,,,,To Home,Deccan,,,,,Prabhat Road/Bhandarkar Road,,,,,5 or more,1-3 hours ago,I come here often,Word of Mouth/ Recommendation,Once a month,Hangout with Friends,I wanted to try Sourdough Pizza,Once every 6 months,,,,Once a week,2-3 times per month,18-24,Female,Unmarried/ Single,Student,We own a car,3 BHK,Yes
27,6/24/2025 22:54,6/24/2025 23:01,anonymous,,Ks,Own Vehicle,Came from Work/ Office,,,Pune Railway Station ,,,,,,,,To Home,Old City,,,,,,,,,,2,1-3 hours ago,I come here often,Word of Mouth/ Recommendation,Once a quarter,Date,Nonna's famous Tiramisu ,Never ordered online,,,,Once a week,1 time per month,24-34,Male,Unmarried/ Single,Salaried Professional,We own a 2-wheeler,3 BHK,Yes
28,6/24/2025 23:02,6/24/2025 23:12,anonymous,,Kd,Own Vehicle,At Home,,,,,Sarkar Nagar,,,,,,To Home,Home,,,,,,,,,,1,Planned yesterday,First time,,,,,,A friend told me,Casual Meal,I wanted to try Sourdough Pizza ,Once a week,2-3 times per month,18-24,Male,Unmarried/ Single,Student,We own both,2BHK,Yes
29,6/24/2025 22:52,6/24/2025 23:13,anonymous,,Ks,Own Vehicle,At Home,,,,,Kothrud,,,Warje,,,To Home,kothrud,,,,,,,Warje,,,1,0-30 minutes ago,First time,,,,,,I was walking by and came in,Casual Meal,I wanted to try Sourdough Pizza ,1 time per month,2-3 times a week,24-34,Female,Married but no kids,Salaried Professional,We own both,2BHK,Yes
30,6/25/2025 14:07,6/25/2025 14:21,anonymous,,Ks,Own Vehicle,At Home,,,,,Parvati,,,,,,To Home,Parvati ,,,,,,,,,,2,0-30 minutes ago,First time,,,,,,A friend told me,Hangout with friends,I wanted to try Sourdough Pizza ,1 time per month,1 time per week,45-54,Female,,Entrepreneur/ Business Owner,,,Yes
31,6/25/2025 13:39,6/25/2025 14:35,anonymous,,Kd,Auto/ Cab,Watching a movie/ Out for fun,R Deccan,,,,,,,,,,To Home,Dighi ,,,,,,,,,,1,1-3 hours ago,First time,,,,,,A friend told me,Casual Meal,I wanted to try Sourdough Pizza ,Once a week,1 time per month,Below 18,Male,Unmarried/ Single,Student,We own both,2BHK,Yes
32,6/25/2025 14:45,6/25/2025 14:46,anonymous,,Ks,Own Vehicle,At College,,,,Fergusson / BMCC,,,,,,,To Home,Old City,,,,,,,,,,3,Planned yesterday,First time,,,,,,A friend told me,Casual Meal,I wanted to try Sourdough Pizza ,Once a week,2-3 times per month,18-24,Male,Unmarried/ Single,Student,We own both,3 BHK,Yes
33,6/25/2025 14:35,6/25/2025 15:08,anonymous,,Kd,Walking,Came from Work/ Office,,,Shivajinagar,,,,,,,,To Work/ Office,,,,Shivajinagar,,,,,,,2,Planned yesterday,First time,,,,,,A friend told me,Work meeting/ Business outing,I wanted to try Sourdough Pizza ,2-3 times per month,2-3 times per month,35-44,Female,Married but no kids,Entrepreneur/ Business Owner,We own both,3 BHK,Yes
34,6/25/2025 14:46,6/25/2025 15:10,anonymous,,Ks,Own Vehicle,At Home,,,,,Kothrud,,,Dahanukar Colony / Kothrud Bus Stand,,,To visit Friends/ Relatives,Deccan,,,,,Apte Road / JM Road,,,,,3,1-3 hours ago,First time,,,,,,Social Media Ad (Instagram/ Facebook),Casual Meal,I wanted to try Sourdough Pizza ,Once a week,2-3 times per month,18-24,Female,Unmarried/ Single,Student,We own both,3 BHK,Yes
35,6/25/2025 15:15,6/25/2025 15:17,anonymous,,Kd,Own Vehicle,Watching a movie/ Out for fun,Pavillion Mall,,,,,,,,,,To watch Movie/ Out for fun,,Pavillion Mall,,,,,,,,,5 or more,Planned yesterday,First time,,,,,,A friend told me,"Special Celebration (Birthday, Anniversary, etc.)",Pizza with Drinks sounded like a good option,Once a week,Once every 2-3 months,18-24,Male,Married but no kids,Student,None,1 BHK,Yes
36,6/25/2025 15:08,6/25/2025 15:34,anonymous,,Ks,Own Vehicle,At Home,,,,,Old City,,,,,Sadashiv Peth,Shopping,,,Pavillion Mall,,,,,,,,2,0-30 minutes ago,I come here often,Walk-in/ Saw it while passing by,Once a quarter,Date,Nonna's famous Tiramisu ,Never ordered online,,,,Once every 2-3 months,Once every 2-3 months,18-24,Female,Unmarried/ Single,Student,We own a 2-wheeler,2BHK,Yes
37,6/25/2025 15:34,6/25/2025 16:12,anonymous,,Ks,Own Vehicle,Shopping,,FC Road,,,,,,,,,To Home,Shivajinagar,,,,,,,,,,1,0-30 minutes ago,First time,,,,,,A friend told me,"Special Celebration (Birthday, Anniversary, etc.)",I wanted to try Sourdough Pizza ,2-3 times a week,1 time per month,24-34,Female,Unmarried/ Single,Salaried Professional,We own a car,1 BHK,Yes
38,6/25/2025 16:14,6/25/2025 16:24,anonymous,,Ks,Own Vehicle,Shopping,,Peth,,,,,,,,,To Home,Sinhgad road,,,,,,,,,,4,Planned long back ,I come here often,Word of Mouth/ Recommendation,Once a month,Hangout with Friends,I wanted to try Sourdough Pizza,Never ordered online,,,,2-3 times a week,2-3 times per month,24-34,Male,Married but no kids,Entrepreneur/ Business Owner,We own both,3 BHK,Yes
39,6/25/2025 16:24,6/25/2025 16:27,anonymous,,Ks,Walking,Watching a movie/ Out for fun,Phoenix mall,,,,,,,,,,Shopping,,,FC Road,,,,,,,,2,0-30 minutes ago,I come here often,Word of Mouth/ Recommendation,Once every 6 months,Hangout with Friends,I wanted to try Sourdough Pizza,Never ordered online,,,,Once a week,Once every 2-3 months,18-24,Female,Unmarried/ Single,Student,None,1 BHK,Yes
40,6/25/2025 16:27,6/25/2025 16:42,anonymous,,Ks,Auto/ Cab,Shopping,,Pavillion Mall,,,,,,,,,To Home,Shivajinagar,,,,,,,,,,2,1-3 hours ago,I come here often,Friends ,Once a quarter,Family Outing,I wanted to try Sourdough Pizza,Never ordered online,,,,2-3 times per month,1 time per month,24-34,Female,Unmarried/ Single,Salaried Professional,,,Yes
41,6/25/2025 16:42,6/25/2025 16:56,anonymous,,Kd,Own Vehicle,Watching a movie/ Out for fun,Pavillion Mall,,,,,,,,,,To Home,kothrud,,,,,,,Mayur Colony / Ideal Colony,,,2,1-3 hours ago,First time,,,,,,A friend told me,Casual Meal,I wanted to try Sourdough Pizza ,Once a week,Once every 2-3 months,18-24,Female,Unmarried/ Single,Student,We own a 2-wheeler,2BHK,Yes
42,6/25/2025 16:56,6/25/2025 17:04,anonymous,,Kd,Own Vehicle,Came from Work/ Office,,,Deccan,,,,,,,,To Home,kothrud,,,,,,,Mayur Colony / Ideal Colony,,,2,1-3 hours ago,First time,,,,,,Social Media Ad (Instagram/ Facebook),Casual Meal,Pizza with Drinks sounded like a good option,Once every 2-3 months,1 time per month,18-24,Female,Unmarried/ Single,Student,We own a car,2BHK,Yes
43,6/25/2025 17:04,6/25/2025 17:18,anonymous,,Shruti,Own Vehicle,At Home,,,,,Shivajinagar,,,,Senapati Bapat Road,,To visit Friends/ Relatives,Shivajinagar,,,,,,,,,,2,0-30 minutes ago,I come here often,Word of Mouth/ Recommendation,Once a month,Casual Meal,Nonna's famous Tiramisu ,Never ordered online,,,,2-3 times a week,2-3 times per month,18-24,Female,Unmarried/ Single,Salaried Professional,We own both,1 BHK,Yes
44,6/25/2025 17:18,6/25/2025 18:58,anonymous,,Ks,Own Vehicle,At Home,,,,,Pcmc,,,,,,To Home,Pcmc,,,,,,,,,,2,0-30 minutes ago,First time,,,,,,A friend told me,Casual Meal,I wanted to try Sourdough Pizza ,Once a week,2-3 times a week,24-34,Male,Unmarried/ Single,Student,We own a car,3 BHK,Yes
45,6/25/2025 18:58,6/25/2025 20:01,anonymous,,Ks,Own Vehicle,Came from Work/ Office,,,Deccan,,,,,,,,To Home,Old City,,,,,,,,,,2,Planned yesterday,I come here often,Word of Mouth/ Recommendation,Once a month,Hangout with Friends,I wanted to try Sourdough Pizza,Never ordered online,,,,Once every 2-3 months,2-3 times a week,24-34,Male,Unmarried/ Single,Entrepreneur/ Business Owner,,,Yes
46,6/25/2025 20:41,6/25/2025 20:46,anonymous,,Kd,Own Vehicle,Came from Work/ Office,,,Shivajinagar,,,,,,,,To Home,Deccan,,,,,Deccan,,,,,1,0-30 minutes ago,I come here often,Walk-in/ Saw it while passing by,2-3 times a month,Casual Meal,I wanted to try Sourdough Pizza,Once a month,,,,Once a week,1 time per week,45-54,Male,Married with youngest kid (Above 12),Salaried Professional,,2BHK,Yes
47,6/25/2025 19:43,6/25/2025 20:56,anonymous,,Ks,Own Vehicle,At Home,,,,,Old City,,,,,Navi Peth,To visit Friends/ Relatives,Old City,,,,,,,,,,2,1-3 hours ago,First time,,,,,,A friend told me,Hangout with friends,I wanted to try Sourdough Pizza ,Once every 2-3 months,Once every 2-3 months,24-34,Male,Unmarried/ Single,Student,None,1 BHK,Yes
48,6/25/2025 20:56,6/25/2025 21:07,anonymous,,Kd,Own Vehicle,At Home,,,,,Bavdhan,,,,,,To Home,Bavdhan ,,,,,,,,,,2,Planned long back ,I come here often,Walk-in/ Saw it while passing by,Once a quarter,Casual Meal,Casual plan,Never ordered online,,,,2-3 times a week,Once every 2-3 months,24-34,Male,Married but no kids,Entrepreneur/ Business Owner,We own a 2-wheeler,1 BHK,Yes
49,6/25/2025 21:20,6/25/2025 21:22,anonymous,,,Own Vehicle,Shopping,,FC Road,,,,,,,,,To Home,Baner,,,,,,,,,,3,Planned long back ,I come here often,Social Media Ad (Instagram/ Facebook),Once a month,Hangout with Friends,Nonna's famous Tiramisu ,Once a quarter,,,,2-3 times per month,Once every 2-3 months,18-24,Female,Unmarried/ Single,Salaried Professional,We own a car,4.5 bhk,Yes
50,6/25/2025 21:25,6/25/2025 21:27,anonymous,,Ks,Auto/ Cab,At Home,,,,,Kothrud,,,Mayur Colony / Ideal Colony,,,Shopping,,,FC Road,,,,,,,,4,0-30 minutes ago,First time,,,,,,A friend told me,"Special Celebration (Birthday, Anniversary, etc.)",Pizza with Drinks sounded like a good option,2-3 times per month,2-3 times per month,18-24,Female,Unmarried/ Single,Salaried Professional,,,Yes
51,6/25/2025 21:25,6/25/2025 21:28,anonymous,,Kd,Auto/ Cab,Watching a movie/ Out for fun,The mills,,,,,,,,,,To Home,Bavdhan,,,,,,,,,,1,1-3 hours ago,I come here often,Social Media Ad (Instagram/ Facebook),Once a quarter,Date,I wanted to try Sourdough Pizza,Never ordered online,,,,2-3 times a week,2-3 times per month,24-34,Female,Unmarried/ Single,Salaried Professional,We own a 2-wheeler,3 BHK,Yes
52,6/25/2025 21:27,6/25/2025 21:29,anonymous,,Ks,Walking,Visiting Friends/ Relatives,,,,,Kothrud,,,Mayur Colony / Ideal Colony,,,To visit Friends/ Relatives,Shivajinagar,,,,,,,,,,4,0-30 minutes ago,First time,,,,,,A friend told me,Hangout with friends,Nonna's famous Tiramisu,2-3 times per month,1 time per month,18-24,Male,Unmarried/ Single,Student,We own both,3 BHK,Yes
53,6/25/2025 21:28,6/25/2025 21:40,anonymous,,Kd,Own Vehicle,Came from Work/ Office,,,Baner,,,,,,,,To Home,Erandawne,,,,,,Law College Road,,,,1,0-30 minutes ago,First time,,,,,,I was walking by and came in,Casual Meal,I wanted to try Sourdough Pizza ,Once a week,1 time per week,24-34,Male,Married but no kids,Salaried Professional,We own a car,2BHK,Yes
54,6/25/2025 21:40,6/25/2025 21:59,anonymous,,Kd,Auto/ Cab,At Home,,,,,Kothrud,,,Paud phata,,,To Home,kothrud,,,,,,,Dahanukar Colony / Kothrud Bus Stand,,,2,Planned yesterday,I come here often,Social Media Ad (Instagram/ Facebook),Once every 6 months,Hangout with Friends,I wanted to try Sourdough Pizza,Never ordered online,,,,Once a week,Once every 2-3 months,18-24,Female,Married but no kids,Salaried Professional,,,Yes
55,6/25/2025 21:59,6/25/2025 22:05,anonymous,,Kd,Own Vehicle,Visiting Friends/ Relatives,,,,,Baner,,,,,,To Home,Baner,,,,,,,,,,2,1-3 hours ago,I come here often,Word of Mouth/ Recommendation,Once every 6 months,Date,Pizza with Drinks sounded like a good combo,Never ordered online,,,,2-3 times a week,Once every 2-3 months,18-24,Female,Unmarried/ Single,Student,We own a car,,Yes
56,6/25/2025 21:31,6/25/2025 22:09,anonymous,,Ks,Own Vehicle,At Home,,,,,Erandawne,,Deenanath Mangeshkar Hospital / Patwardhan Bag,,,,To Home,Erandawne,,,,,,Deenanath Mangeshkar Hospital / Patwardhan Bag,,,,2,Planned yesterday,I come here often,Walk-in/ Saw it while passing by,Once every 6 months,Casual Meal,I wanted to try Sourdough Pizza,Never ordered online,,,,2-3 times per month,1 time per month,18-24,Female,Unmarried/ Single,Student,,,Yes
57,6/25/2025 22:09,6/25/2025 22:25,anonymous,,Kd,Walking,At Home,,,,,Kothrud,,,MIT College / Anand Nagar,,,Walk around,,,,,,,,,,,1,0-30 minutes ago,First time,,,,,,I was walking by and came in,Casual Meal,I wanted to try Sourdough Pizza ,2-3 times per month,Once every 2-3 months,18-24,Female,Unmarried/ Single,Student,We own both,2BHK,Yes
58,6/25/2025 22:05,6/25/2025 22:30,anonymous,,Kd,Own Vehicle,Shopping,,Kothrud,,,,,,,,,Hotel I am a business trip,,,,,,,,,,,4,0-30 minutes ago,First time,,,,,,Reservation Apps - DineOut/ Zomato Gold,Casual Meal,I wanted to try Sourdough Pizza ,1 time per month,Once every 2-3 months,35-44,Male,Married with youngest kid (Below 12),Entrepreneur/ Business Owner,We own both,4 bhk,Yes
59,6/25/2025 22:25,6/25/2025 22:36,anonymous,,Ks,Walking,Visiting Friends/ Relatives,,,,,Kothrud,,,Dahanukar Colony / Kothrud Bus Stand,,,To Home,kothrud,,,,,,,Dahanukar Colony / Kothrud Bus Stand,,,2,0-30 minutes ago,I come here often,Walk-in/ Saw it while passing by,Once a month,Work meeting/ Business outing,Nonna's famous Tiramisu ,Once a month,,,,Once a week,2-3 times a week,24-34,Female,Married but no kids,Salaried Professional,We own both,2BHK,Yes
60,6/25/2025 22:36,6/25/2025 22:50,anonymous,,Ks,Own Vehicle,Shopping,,FC Road,,,,,,,,,To Home,Deccan,,,,,Prabhat Road/Bhandarkar Road,,,,,2,0-30 minutes ago,I come here often,Walk-in/ Saw it while passing by,2-3 times a month,Casual Meal,I wanted to try Sourdough Pizza,Once a month,,,,2-3 times per month,1 time per week,35-44,Male,Married with youngest kid (Above 12),Salaried Professional,We own both,2BHK,Yes
61,6/25/2025 23:10,6/25/2025 23:15,anonymous,,Ks,Own Vehicle,At Home,,,,,Deccan,Apte Road / JM Road,,,,,To Home,kothrud,,,,,,,MT College / Anand Nagar,,,2,0-30 minutes ago,I come here often,Word of Mouth/ Recommendation,Once a week,Work meeting/ Business outing,I wanted to try Sourdough Pizza,Never ordered online,,,,Once a week,2-3 times per month,35-44,Male,Unmarried/ Single,Entrepreneur/ Business Owner,We own a car,1 BHK,Yes
